a, b, c, d, e
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
14809432, 14809432, 14809432, 14809432, 14809432
